Вопрос;Класс;;;;;;;;;;;;;;;;;;;;;;;;
"Найти студентов, у которых адрес электронной почты (email_address) содержит слово ""university"".";1;;;;;;;;;;;;;;;;;;;;;;;;
Для каждого курса вывести название (course_name) и среднее количество дней между регистрацией студентов на курс (registration_date) и их посещением курса (date_of_attendance).;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести список студентов, которые зарегистрировались на курсы в первый день месяца.;1;;;;;;;;;;;;;;;;;;;;;;;;
Найти курсы, у которых описание (course_description) начинается с гласной буквы («A», «E», «I», «O», «U», «Y»).;1;;;;;;;;;;;;;;;;;;;;;;;;
Для каждого студента вывести его полное имя и количество курсов, на которые он зарегистрировался, но не посещал.;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести список курсов, на которые зарегистрировались студенты из более чем 5 различных стран.;1;;;;;;;;;;;;;;;;;;;;;;;;
Найти студентов, у которых фамилия (last_name) состоит только из букв верхнего регистра.;1;;;;;;;;;;;;;;;;;;;;;;;;
"Найти всех кандидатов, которые сдали вступительный экзамен на оценку ""Pass"".";1;;;;;;;;;;;;;;;;;;;;;;;;
"Получить список всех адресов, в которых указана страна ""Казахстан"".";1;;;;;;;;;;;;;;;;;;;;;;;;
"Вывести имена и фамилии всех людей, у которых есть адрес в городе ""Алматы"".";1;;;;;;;;;;;;;;;;;;;;;;;;
"Найти всех студентов, которые посетили курс с идентификатором ""MATH101"".";1;;;;;;;;;;;;;;;;;;;;;;;;
"Получить список всех курсов, описание которых содержит слово ""введение"".";1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести количество уникальных адресов электронной почты в таблице People.;1;;;;;;;;;;;;;;;;;;;;;;;;
Найти всех людей, у которых нет указанного номера мобильного телефона.;1;;;;;;;;;;;;;;;;;;;;;;;;
"Получить список всех адресов, где zip_postcode начинается с цифры ""1"".";1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести имена и фамилии всех кандидатов, которые сдали вступительный экзамен.;1;;;;;;;;;;;;;;;;;;;;;;;;
Найти всех студентов, которые зарегистрировались на курс после 1 января 2023 года.;1;;;;;;;;;;;;;;;;;;;;;;;;
Получить список всех курсов, на которые зарегистрировано менее 10 студентов.;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести имена и фамилии людей, у которых login_name содержит цифру.;1;;;;;;;;;;;;;;;;;;;;;;;;
Получить список уникальных значений state_province_county в таблице Addresses.;1;;;;;;;;;;;;;;;;;;;;;;;;
"Вывести количество студентов, которые зарегистрированы на курс ""COMP301"".";1;;;;;;;;;;;;;;;;;;;;;;;;
"Найти всех людей, у которых email_address содержит подстроку ""gmail"".";1;;;;;;;;;;;;;;;;;;;;;;;;
Получить список всех курсов, описание которых содержит более 100 символов.;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести имена и фамилии людей, у которых middle_name указан.;1;;;;;;;;;;;;;;;;;;;;;;;;
Найти всех студентов, которые зарегистрировались на курс в 2023 году.;1;;;;;;;;;;;;;;;;;;;;;;;;
"Получить список всех адресов, где line_1 содержит слово ""улица"".";1;;;;;;;;;;;;;;;;;;;;;;;;
Найти всех студентов, у которых нет второго имени;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести количество студентов, зарегистрированных на каждый курс;1;;;;;;;;;;;;;;;;;;;;;;;;
Получить список студентов, у которых номер телефона начинается с '+7';1;;;;;;;;;;;;;;;;;;;;;;;;
Найти студентов, которые живут в городе Москва;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести имя, фамилию и email студентов, чей логин содержит слово 'student';1;;;;;;;;;;;;;;;;;;;;;;;;
Получить список курсов, на которые зарегистрировался студент с идентификатором 10;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести количество студентов, сдавших вступительный экзамен на оценку '2';1;;;;;;;;;;;;;;;;;;;;;;;;
Найти студентов, которые посетили курс с названием 'Математика' в определенную дату;1;;;;;;;;;;;;;;;;;;;;;;;;
Получить список адресов студентов, проживающих в странах, название которых начинается на букву 'А';1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести среднее количество курсов, на которые зарегистрированы студенты;1;;;;;;;;;;;;;;;;;;;;;;;;
Найти студентов, у которых дата регистрации на курс позже 01.01.1995 ;1;;;;;;;;;;;;;;;;;;;;;;;;
Получить список курсов, у которых в описании есть слово 'программирование';1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести количество студентов, у которых нет информации о втором имени и номере телефона;1;;;;;;;;;;;;;;;;;;;;;;;;
Найти студентов, которые посетили все курсы, на которые они зарегистрировались;1;;;;;;;;;;;;;;;;;;;;;;;;
Получить список студентов, у которых email содержит их имя;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести количество студентов, зарегистрированных на курсы в каждый день недели;1;;;;;;;;;;;;;;;;;;;;;;;;
Найти курсы, на которые не зарегистрировался ни один студент;1;;;;;;;;;;;;;;;;;;;;;;;;
Получить список студентов, у которых в дополнительной информации есть слово 'отличник';1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести количество студентов из каждой страны;1;;;;;;;;;;;;;;;;;;;;;;;;
Найти студентов, которые сдали вступительный экзамен, но не зарегистрировались ни на один курс;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести имена и фамилии студентов, у которых нет информации об адресе;1;;;;;;;;;;;;;;;;;;;;;;;;
Получить список курсов, на которые зарегистрировалось больше 10 студентов;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести количество студентов, у которых фамилия начинается на букву 'К';1;;;;;;;;;;;;;;;;;;;;;;;;
Получить список студентов, которые посетили все курсы в определенном году;1;;;;;;;;;;;;;;;;;;;;;;;;
Найти курсы, у которых в названии есть слово 'базы данных';1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести среднюю длину описания курсов;1;;;;;;;;;;;;;;;;;;;;;;;;
Получить список студентов, у которых email заканчивается на '.edu';1;;;;;;;;;;;;;;;;;;;;;;;;
Найти студентов, которые зарегистрировались на курсы в выходные дни (суббота и воскресенье);1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести количество студентов, у которых пароль короче 8 символов;1;;;;;;;;;;;;;;;;;;;;;;;;
Получить список курсов, на которые зарегистрировался студент с самым длинным именем;1;;;;;;;;;;;;;;;;;;;;;;;;
Найти студентов, которые не посетили ни одного курса, на который они зарегистрировались;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести количество студентов, зарегистрированных на каждый курс, у которого в названии есть слово 'программирование';1;;;;;;;;;;;;;;;;;;;;;;;;
"Получить список студентов, у которых в дополнительной информации указано слово ""стипендия""";1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести имена и фамилии студентов, у которых email содержит цифры;1;;;;;;;;;;;;;;;;;;;;;;;;
Получить список студентов, которые сдали вступительный экзамен с результатом 'Pass';1;;;;;;;;;;;;;;;;;;;;;;;;
Найти студентов, у которых в адресе есть слово 'улица';1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести количество студентов, зарегистрированных на курсы в каждый месяц года;1;;;;;;;;;;;;;;;;;;;;;;;;
Получить список курсов, у которых описание длиннее среднего описания всех курсов;1;;;;;;;;;;;;;;;;;;;;;;;;
"Показать список курсов, у которых в поле ""course_name"" присутствует слово ""математика"" или ""физика"".";1;;;;;;;;;;;;;;;;;;;;;;;;
"Найти студентов, у которых в поле ""email_address"" присутствуют адреса, заканчивающиеся на "".edu.ru"".";1;;;;;;;;;;;;;;;;;;;;;;;;
"Показать список курсов, у которых в поле ""course_description"" присутствуют слова ""прикладное программирование"" или ""дескриптивная статистика"".";1;;;;;;;;;;;;;;;;;;;;;;;;
"Вывести список студентов, у которых в поле ""first_name"" присутствует слово ""Мария"" или ""Екатерина"".";1;;;;;;;;;;;;;;;;;;;;;;;;
"Получить список курсов, у которых в поле ""city"" присутствует слово ""Санкт-Петербург"" или ""Калининград"".";1;;;;;;;;;;;;;;;;;;;;;;;;
"Вывести список студентов, у которых в поле ""password"" не используются буквы из английского алфавита.";1;;;;;;;;;;;;;;;;;;;;;;;;
Получить список курсов, у которых длина описания (course_description) превышает 100 символов.;1;;;;;;;;;;;;;;;;;;;;;;;;
"Найти студентов, у которых в поле ""first_name"" присутствует слово ""Алексей"" или ""Сергей"".";1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести список всех блюд итальянской кухни с оценкой выше 8 баллов в базе данных ресторанного гида.;0;;;;;;;;;;;;;;;;;;;;;;;;
Найти количество фильмов в базе данных кинотеатра, выпущенных в 2020 году и имеющих рейтинг выше PG-13.;0;;;;;;;;;;;;;;;;;;;;;;;;
Вывести всех авторов научно-фантастических романов из базы данных библиотеки, чьи книги были изданы после 1990 года.;0;;;;;;;;;;;;;;;;;;;;;;;;
Сколько видов кофе из Колумбии доступно в базе данных интернет-магазина кофе?;0;;;;;;;;;;;;;;;;;;;;;;;;
"Список всех видео игр жанра ""RPG"" с рейтингом ""Mature"" в базе данных игрового магазина.";0;;;;;;;;;;;;;;;;;;;;;;;;
"Найти общее количество шагов в рецепте ""Лазанья"" из базы данных кулинарного сайта.";0;;;;;;;;;;;;;;;;;;;;;;;;
Вывести марки автомобилей, которые имеют более 5 моделей с гибридным двигателем в базе данных автосалона.;0;;;;;;;;;;;;;;;;;;;;;;;;
Список всех пользователей, которые зарегистрировались на сайте знакомств в феврале 2021 года, и указали, что любят кататься на велосипеде.;0;;;;;;;;;;;;;;;;;;;;;;;;
Найти количество пройденных курсов по программированию на Python каждым студентом в базе данных онлайн-университета.;0;;;;;;;;;;;;;;;;;;;;;;;;
Вывести список всех планет и их спутников в базе данных астрономического обсерваториума, где температура на планете ниже -20 градусов Цельсия.;0;;;;;;;;;;;;;;;;;;;;;;;;
Найти все рестораны, расположенные в радиусе 5 км от центра города, с рейтингом выше 4 звезд.;0;;;;;;;;;;;;;;;;;;;;;;;;
Вывести список всех сотрудников, работающих в отделе продаж, с указанием их должностей и даты приема на работу.;0;;;;;;;;;;;;;;;;;;;;;;;;
Найти самую дорогую модель автомобиля, выпущенную после 2020 года, с объемом двигателя более 3 литров.;0;;;;;;;;;;;;;;;;;;;;;;;;
Вывести список пациентов, которые посещали клинику в течение последнего месяца, с указанием их диагнозов и назначенного лечения.;0;;;;;;;;;;;;;;;;;;;;;;;;
Найти все книги в библиотеке, изданные в период с 1900 по 1950 год, отсортированные по автору в алфавитном порядке.;0;;;;;;;;;;;;;;;;;;;;;;;;
Вывести список всех авиарейсов, вылетающих из Москвы в Нью-Йорк, с указанием времени вылета, прибытия и авиакомпании.;0;;;;;;;;;;;;;;;;;;;;;;;;
Найти все заказы, сделанные в интернет-магазине в течение последней недели, с указанием общей суммы заказа и способа оплаты.;0;;;;;;;;;;;;;;;;;;;;;;;;
Вывести список всех студентов, обучающихся на факультете компьютерных наук, с указанием их среднего балла и специализации.;0;;;;;;;;;;;;;;;;;;;;;;;;
"Найти все фильмы в кинотеатре, относящиеся к жанру ""комедия"", с указанием времени сеансов и стоимости билетов.";0;;;;;;;;;;;;;;;;;;;;;;;;
Вывести список всех сотрудников компании, работающих удаленно, с указанием их должностей и контактной информации.;0;;;;;;;;;;;;;;;;;;;;;;;;
Сколько фильмов в жанре научная фантастика было выпущено в 2020 году?;0;;;;;;;;;;;;;;;;;;;;;;;;
Вывести список всех ресторанов с 3-звездочным рейтингом Мишлен в Париже.;0;;;;;;;;;;;;;;;;;;;;;;;;
Какие виды спорта наиболее популярны среди подростков 12-16 лет в России?;0;;;;;;;;;;;;;;;;;;;;;;;;
"Найти всех авторов научных работ по теме ""Искусственный интеллект"" за последние 5 лет.";0;;;;;;;;;;;;;;;;;;;;;;;;
Вывести количество проданных книг каждым издательством в 2021 году.;0;;;;;;;;;;;;;;;;;;;;;;;;
Сколько всего видов птиц занесено в Красную книгу России?;0;;;;;;;;;;;;;;;;;;;;;;;;
Показать топ-10 самых высоких гор мира с указанием их высоты.;0;;;;;;;;;;;;;;;;;;;;;;;;
Список всех компаний, зарегистрированных в Силиконовой долине, работающих над разработкой беспилотных автомобилей.;0;;;;;;;;;;;;;;;;;;;;;;;;
Вывести имена всех футболистов, забивших более 20 голов в Европейских лигах в сезоне 2023-2024.;0;;;;;;;;;;;;;;;;;;;;;;;;
"Сколько всего видов кофе предлагается в кофейне ""Кофемания""?";0;;;;;;;;;;;;;;;;;;;;;;;;
Вывести список всех учебных заведений в Москве, где есть факультет биоинженерии.;0;;;;;;;;;;;;;;;;;;;;;;;;
Перечислить все страны, в которых официальным языком является испанский.;0;;;;;;;;;;;;;;;;;;;;;;;;
"Сколько различных видов мороженого продается в магазине ""Сладкая жизнь""?";0;;;;;;;;;;;;;;;;;;;;;;;;
Показать список всех библиотек Санкт-Петербурга с количеством книг по истории России.;0;;;;;;;;;;;;;;;;;;;;;;;;
Какие авиакомпании выполняют прямые рейсы из Москвы в Токио?;0;;;;;;;;;;;;;;;;;;;;;;;;
"Найти все песни группы ""Queen"", которые вошли в топ-10 чартов Billboard.";0;;;;;;;;;;;;;;;;;;;;;;;;
Вывести имена и даты рождения всех нобелевских лауреатов по физике за последние 10 лет.;0;;;;;;;;;;;;;;;;;;;;;;;;
"Сколько видов суши предлагает японский ресторан ""Токио"" в своем меню?";0;;;;;;;;;;;;;;;;;;;;;;;;
Перечислить все компьютерные игры, разработанные компанией Valve.;0;;;;;;;;;;;;;;;;;;;;;;;;
Вывести список всех музеев мира, где есть картины Ван Гога.;0;;;;;;;;;;;;;;;;;;;;;;;;
Вывести список всех животных, принадлежащих к семейству кошачьих.;0;;;;;;;;;;;;;;;;;;;;;;;;
Найти количество пингвинов в зоопарке.;0;;;;;;;;;;;;;;;;;;;;;;;;
Вывести имена всех слонов, возраст которых превышает 10 лет.;0;;;;;;;;;;;;;;;;;;;;;;;;
Сколько видов рептилий содержится в зоопарке?;0;;;;;;;;;;;;;;;;;;;;;;;;
Вывести список кормов для панд, используемых в зоопарке.;0;;;;;;;;;;;;;;;;;;;;;;;;
Найти всех животных, которые были привезены из Африки.;0;;;;;;;;;;;;;;;;;;;;;;;;
Вывести расписание кормления хищников.;0;;;;;;;;;;;;;;;;;;;;;;;;
Показать всех новорожденных животных за последний месяц.;0;;;;;;;;;;;;;;;;;;;;;;;;
Вывести список сотрудников, работающих с приматами.;0;;;;;;;;;;;;;;;;;;;;;;;;
Найти общее количество животных в зоопарке, родившихся в неволе.;0;;;;;;;;;;;;;;;;;;;;;;;;
Сколько видов птиц можно наблюдать в зоопарке?;0;;;;;;;;;;;;;;;;;;;;;;;;
"Вывести историю болезней тигра по кличке ""Шерхан"".";0;;;;;;;;;;;;;;;;;;;;;;;;
Список животных, которым требуется специальный уход.;0;;;;;;;;;;;;;;;;;;;;;;;;
Вывести количество водных видов, содержащихся в аквариуме зоопарка.;0;;;;;;;;;;;;;;;;;;;;;;;;
Найти всех животных, которые находятся под охраной из-за угрозы вымирания.;0;;;;;;;;;;;;;;;;;;;;;;;;
Вывести график выступлений с участием дельфинов.;0;;;;;;;;;;;;;;;;;;;;;;;;
Список всех растений в ботаническом саду зоопарка.;0;;;;;;;;;;;;;;;;;;;;;;;;
Вывести информацию о последних прививках, сделанных животным.;0;;;;;;;;;;;;;;;;;;;;;;;;
"Найти животных, которые могут быть взяты под опеку по программе ""Приемный родитель"".";0;;;;;;;;;;;;;;;;;;;;;;;;
Вывести список всех инкубаторных яиц, ожидающих вылупления.;0;;;;;;;;;;;;;;;;;;;;;;;;
"Вывести список всех исполнителей в жанре ""рок"", отсортированных по количеству прослушиваний в порядке убывания.";0;;;;;;;;;;;;;;;;;;;;;;;;
Найти самый популярный альбом 2022 года по общему количеству прослушиваний треков.;0;;;;;;;;;;;;;;;;;;;;;;;;
"Вывести список всех пользователей, добавивших в плейлист песню ""Bohemian Rhapsody"" группы Queen.";0;;;;;;;;;;;;;;;;;;;;;;;;
Найти все треки, длительность которых превышает 7 минут, отсортировав их по исполнителю в алфавитном порядке.;0;;;;;;;;;;;;;;;;;;;;;;;;
Вывести топ-10 самых популярных плейлистов, созданных пользователями, по количеству подписчиков.;0;;;;;;;;;;;;;;;;;;;;;;;;
"Найти все альбомы, выпущенные в период с 1990 по 2000 год, в жанре ""хип-хоп"".";0;;;;;;;;;;;;;;;;;;;;;;;;
"Вывести список всех пользователей, которые добавили в плейлист хотя бы один трек исполнителя ""Metallica"".";0;;;;;;;;;;;;;;;;;;;;;;;;
Найти самый короткий трек в базе данных с указанием его длительности и исполнителя.;0;;;;;;;;;;;;;;;;;;;;;;;;
Вывести список всех треков, добавленных в плейлисты за последние 7 дней, отсортированных по количеству добавлений в порядке убывания.;0;;;;;;;;;;;;;;;;;;;;;;;;
Найти все альбомы, не содержащие ни одного трека с явными ограничениями по возрасту.;0;;;;;;;;;;;;;;;;;;;;;;;;
Вывести список всех исполнителей, чьи треки были добавлены в плейлисты более 1000 раз.;0;;;;;;;;;;;;;;;;;;;;;;;;
Найти все треки, которые были прослушаны хотя бы одним пользователем полностью.;0;;;;;;;;;;;;;;;;;;;;;;;;
Вывести топ-5 самых популярных жанров по общему количеству прослушиваний треков.;0;;;;;;;;;;;;;;;;;;;;;;;;
Найти все плейлисты, созданные пользователями из Франции, с указанием количества треков и общей длительности.;0;;;;;;;;;;;;;;;;;;;;;;;;
Вывести список всех исполнителей, у которых есть хотя бы один альбом, выпущенный в 2023 году.;0;;;;;;;;;;;;;;;;;;;;;;;;
Найти все альбомы, содержащие более 20 треков, отсортированные по году выпуска в порядке убывания.;0;;;;;;;;;;;;;;;;;;;;;;;;
Вывести список всех пользователей, которые прослушали хотя бы один трек дольше 10 минут.;0;;;;;;;;;;;;;;;;;;;;;;;;
Найти самый длинный плейлист по общей длительности треков и указать его создателя.;0;;;;;;;;;;;;;;;;;;;;;;;;
"Вывести топ-3 самых популярных исполнителей в жанре ""классическая музыка"" по количеству подписчиков.";0;;;;;;;;;;;;;;;;;;;;;;;;
Найти все треки, которые были добавлены в плейлисты более 500 раз, но не были прослушаны ни разу.;0;;;;;;;;;;;;;;;;;;;;;;;;
Отобразить все картины эпохи Возрождения, хранящиеся в музее.;0;;;;;;;;;;;;;;;;;;;;;;;;
Показать экспонаты, полученные музеем в дар за последний год.;0;;;;;;;;;;;;;;;;;;;;;;;;
Вывести список всех скульптур, созданных Микеланджело, в коллекции музея.;0;;;;;;;;;;;;;;;;;;;;;;;;
Найти произведения искусства, которые были временно переданы другим музеям в текущем году.;0;;;;;;;;;;;;;;;;;;;;;;;;
"Показать историю реставрации для картины ""Мона Лиза"".";0;;;;;;;;;;;;;;;;;;;;;;;;
Вывести список выставок, запланированных к открытию в следующем квартале.;0;;;;;;;;;;;;;;;;;;;;;;;;
Найти всех художников французского импрессионизма, представленных в музее.;0;;;;;;;;;;;;;;;;;;;;;;;;
Перечислить произведения искусства, признанные утраченными или украденными.;0;;;;;;;;;;;;;;;;;;;;;;;;
Показать информацию о самом старом экспонате в музее.;0;;;;;;;;;;;;;;;;;;;;;;;;
Отобразить все экспонаты, созданные в Азии в 18 веке.;0;;;;;;;;;;;;;;;;;;;;;;;;
Вывести данные о посещаемости музея по месяцам за последний год.;0;;;;;;;;;;;;;;;;;;;;;;;;
Найти экспонаты, находящиеся на реставрации более 6 месяцев.;0;;;;;;;;;;;;;;;;;;;;;;;;
Список произведений искусства, выставленных в галерее современного искусства.;0;;;;;;;;;;;;;;;;;;;;;;;;
Показать экспонаты, оцененные экспертами выше $1 миллиона.;0;;;;;;;;;;;;;;;;;;;;;;;;
Вывести информацию о новых приобретениях музея в последнем квартале.;0;;;;;;;;;;;;;;;;;;;;;;;;
Отобразить все портреты, выполненные в технике масляной живописи.;0;;;;;;;;;;;;;;;;;;;;;;;;
Найти произведения искусства, датируемые 15 веком.;0;;;;;;;;;;;;;;;;;;;;;;;;
Показать экспозиции, посвященные Древнему Египту.;0;;;;;;;;;;;;;;;;;;;;;;;;
Вывести список мастер-классов для детей, запланированных на ближайшие выходные.;0;;;;;;;;;;;;;;;;;;;;;;;;
Найти аудиогиды, доступные для выставок по первой мировой войне.;0;;;;;;;;;;;;;;;;;;;;;;;;
Отобразить все акварельные картины в коллекции музея.;0;;;;;;;;;;;;;;;;;;;;;;;;
Список книг, изданных музеем за последние 5 лет.;0;;;;;;;;;;;;;;;;;;;;;;;;
Показать все экспонаты, найденные во время археологических раскопок в Греции.;0;;;;;;;;;;;;;;;;;;;;;;;;
Вывести информацию о лекциях на тему Ренессанса, проведенных в музее.;0;;;;;;;;;;;;;;;;;;;;;;;;
Найти произведения искусства, связанные с историей Римской империи.;0;;;;;;;;;;;;;;;;;;;;;;;;
Показать экспонаты, демонстрирующие культуру Южной Америки.;0;;;;;;;;;;;;;;;;;;;;;;;;
"Отобразить все иллюстрации к ""Божественной комедии"" Данте, находящиеся в музее.";0;;;;;;;;;;;;;;;;;;;;;;;;
Список всех мумий, экспонируемых в музее.;0;;;;;;;;;;;;;;;;;;;;;;;;
Вывести данные о самой большой картине в коллекции музея.;0;;;;;;;;;;;;;;;;;;;;;;;;
Найти все экспонаты, связанные с историей мореплавания.;0;;;;;;;;;;;;;;;;;;;;;;;;
Показать произведения искусства, выполненные в стиле арт-деко.;0;;;;;;;;;;;;;;;;;;;;;;;;
Вывести список всех заказов в интернет-магазине за последний месяц, включая информацию о товарах, ценах и статусе заказа.;0;;;;;;;;;;;;;;;;;;;;;;;;
Найти все рейсы авиакомпании, вылетающие из Москвы в Нью-Йорк в ближайшие 7 дней, с указанием времени вылета и прибытия.;0;;;;;;;;;;;;;;;;;;;;;;;;
Вывести информацию обо всех сотрудниках компании, работающих в отделе разработки программного обеспечения, включая их должности, даты приема на работу и контактные данные.;0;;;;;;;;;;;;;;;;;;;;;;;;
"Найти все книги в библиотеке, написанные автором ""Джоан Роулинг"", отсортированные по году издания в порядке возрастания.";0;;;;;;;;;;;;;;;;;;;;;;;;
"Вывести список всех пациентов клиники, которым был поставлен диагноз ""диабет"", с указанием их контактной информации и назначенного лечения.";0;;;;;;;;;;;;;;;;;;;;;;;;
Найти все автомобили в базе данных автосалона, выпущенные после 2018 года, с объемом двигателя более 2 литров и ценой ниже 50 000 долларов.;0;;;;;;;;;;;;;;;;;;;;;;;;
"Вывести информацию обо всех студентах университета, обучающихся на факультете ""Компьютерные науки"", включая их средний балл и специализацию.";0;;;;;;;;;;;;;;;;;;;;;;;;
Найти все рестораны в городе, имеющие рейтинг выше 4 звезд, с указанием их кухни, среднего чека и часов работы.;0;;;;;;;;;;;;;;;;;;;;;;;;
Вывести список всех сотрудников отеля, работающих в качестве горничных, с указанием их графика работы и зоны ответственности.;0;;;;;;;;;;;;;;;;;;;;;;;;
"Найти все фильмы в кинотеатре, относящиеся к жанру ""ужасы"", с указанием времени сеансов и стоимости билетов.";0;;;;;;;;;;;;;;;;;;;;;;;;
Вывести информацию обо всех клиентах юридической фирмы, включая их контактные данные, тип дела и назначенного адвоката.;0;;;;;;;;;;;;;;;;;;;;;;;;
Найти все заказы в службе доставки еды, сделанные в течение последних 24 часов, с указанием ресторана, общей стоимости заказа и времени доставки.;0;;;;;;;;;;;;;;;;;;;;;;;;
Вывести список всех сотрудников полиции, работающих в отделе по борьбе с наркотиками, включая их звания, даты приема на работу и зоны ответственности.;0;;;;;;;;;;;;;;;;;;;;;;;;
Найти все предметы антикварной мебели в базе данных антикварного магазина, выпущенные до 1900 года, с указанием их описания, состояния и цены.;0;;;;;;;;;;;;;;;;;;;;;;;;
Вывести информацию обо всех пациентах ветеринарной клиники, включая данные о их домашних животных, диагнозах и назначенном лечении.;0;;;;;;;;;;;;;;;;;;;;;;;;
Найти все автомобили в базе данных автосервиса, которые были отремонтированы в течение последнего месяца, с указанием типа ремонта и общей стоимости работ.;0;;;;;;;;;;;;;;;;;;;;;;;;
Вывести список всех учеников начальной школы, отсортированных по классам и средним оценкам в порядке убывания.;0;;;;;;;;;;;;;;;;;;;;;;;;
Найти все рейсы круизного лайнера, отправляющиеся из Майами в ближайшие 6 месяцев, с указанием продолжительности круиза, портов захода и стоимости.;0;;;;;;;;;;;;;;;;;;;;;;;;
Вывести информацию обо всех сотрудниках компании, работающих удаленно, включая их должности;0;;;;;;;;;;;;;;;;;;;;;;;;
Найти все матчи по футболу, сыгранные в прошлом сезоне, с указанием счета, команд и стадиона.;0;;;;;;;;;;;;;;;;;;;;;;;;
Вывести список всех постояльцев отеля за последний месяц, включая информацию о типе забронированного номера, дате заезда и выезда.;0;;;;;;;;;;;;;;;;;;;;;;;;
"Найти все товары в интернет-магазине электроники, относящиеся к категории ""Ноутбуки"", с указанием производителя, модели и цены.";0;;;;;;;;;;;;;;;;;;;;;;;;
Вывести информацию обо всех сотрудниках компании, получивших повышение в течение последнего года, включая их старые и новые должности, а также даты повышения.;0;;;;;;;;;;;;;;;;;;;;;;;;
"Найти все рецепты в кулинарной базе данных, содержащие ингредиент ""курица"", отсортированные по времени приготовления в порядке возрастания.";0;;;;;;;;;;;;;;;;;;;;;;;;
"Вывести список всех студентов университета, обучающихся на факультете ""Искусство и дизайн"", с указанием их специализации и портфолио работ.";0;;;;;;;;;;;;;;;;;;;;;;;;
Найти все автомобили в базе данных автосалона, имеющие автоматическую коробку передач и расход топлива менее 8 литров на 100 км.;0;;;;;;;;;;;;;;;;;;;;;;;;
"Вывести информацию обо всех пациентах стоматологической клиники, которым была проведена процедура ""удаление зуба"" в течение последних 6 месяцев.";0;;;;;;;;;;;;;;;;;;;;;;;;
Найти все заказы в службе доставки цветов, сделанные на ближайшую неделю, с указанием типа букета, адреса доставки и даты доставки.;0;;;;;;;;;;;;;;;;;;;;;;;;
Вывести список всех сотрудников компании, работающих в отделе продаж, с указанием их зарплаты и общего объема продаж за последний квартал.;0;;;;;;;;;;;;;;;;;;;;;;;;
"Найти все фильмы в базе данных онлайн-кинотеатра, относящиеся к жанру ""драма"", с указанием рейтинга, продолжительности и описания сюжета.";0;;;;;;;;;;;;;;;;;;;;;;;;
Вывести информацию обо всех клиентах туристического агентства, забронировавших путевки на ближайшее лето, включая информацию о выбранном направлении, типе размещения и датах поездки.;0;;;;;;;;;;;;;;;;;;;;;;;;
"Найти все книги в базе данных онлайн-библиотеки, написанные автором ""Стивен Кинг"", отсортированные по году издания в порядке убывания.";0;;;;;;;;;;;;;;;;;;;;;;;;
Вывести список всех сотрудников IT-компании, работающих в отделе разработки мобильных приложений, с указанием их навыков программирования и проектов, над которыми они работали.;0;;;;;;;;;;;;;;;;;;;;;;;;
Найти все рейсы авиакомпании, вылетающие из Лондона в Токио в ближайшие 14 дней, с указанием времени вылета и прибытия, а также типа самолета.;0;;;;;;;;;;;;;;;;;;;;;;;;
Вывести информацию обо всех студентах музыкальной школы, обучающихся игре на фортепиано, включая их уровень мастерства и участие в концертах.;0;;;;;;;;;;;;;;;;;;;;;;;;
Найти все construction_projects со status = 'In Progress', упорядочив по estimated_cost в порядке убывания и вывести address, general_contractor.;0;;;;;;;;;;;;;;;;;;;;;;;;
Вывести employee_name, position, publications из таблицы employees, где works_on_project = 'Climate Change Study' и employment_type = 'Researcher'.;0;;;;;;;;;;;;;;;;;;;;;;;;
Найти все domain_names из таблицы domains, где expiration_date между GETDATE() и DATEADD(day, 30, GETDATE()), вывести owner_name, expiration_date.;0;;;;;;;;;;;;;;;;;;;;;;;;
Из таблицы athletes вывести full_name, country, personal_records, где sport_discipline = 'Long Jump' или sport_discipline = 'High Jump', отсортировав по personal_records в порядке убывания.;0;;;;;;;;;;;;;;;;;;;;;;;;
Из таблицы bank_accounts найти account_number, account_type, balance, owner_name, где количество записей в таблице transactions с account_number = bank_accounts.account_number за последние 30 дней > 10.;0;;;;;;;;;;;;;;;;;;;;;;;;
Вывести employee_name, specialization, years_of_experience из таблицы employees, где department = 'Weather Forecasting', order by years_of_experience desc.;0;;;;;;;;;;;;;;;;;;;;;;;;
